gate_id,gate_name,assay,statistic,expected,observed,tolerance,PASS/FAIL,consequence_if_fail,halts_study
G0,pre-flight benchmark: pair enumeration wall,GB1_IgG-Fc_fitness_1FCC,"enumeration wall (s), <= budget",180.0,0.55,budget,PASS,"switch to the n=40,000 x 5-subsample path; SI between-subsample SE must be <= 0.03 else INCONCLUSIVE",no
G0,pre-flight benchmark: peak RSS,GB1_IgG-Fc_fitness_1FCC,"process peak-RSS high-water mark (GB) after this assay -- an UPPER BOUND on the per-assay figure, since ru_maxrss never decreases",4.0,1.478,budget,PASS,as above,no
G0,pre-flight benchmark: pair enumeration wall,CR9114_FluAH1_logKd_4FQI,"enumeration wall (s), <= budget",180.0,1.58,budget,PASS,"switch to the n=40,000 x 5-subsample path; SI between-subsample SE must be <= 0.03 else INCONCLUSIVE",no
G0,pre-flight benchmark: peak RSS,CR9114_FluAH1_logKd_4FQI,"process peak-RSS high-water mark (GB) after this assay -- an UPPER BOUND on the per-assay figure, since ru_maxrss never decreases",4.0,1.478,budget,PASS,as above,no
G0,whole-benchmark enumeration wall,ALL_28,sum of per-assay enumeration wall (s),59.2,6.19,budget,PASS,runtime plan Sec.5 is wrong; re-price stage 0,no
G0,whole-benchmark peak RSS,ALL_28,peak RSS (GB),2.0,1.478,budget,PASS,as above,no
G0,fit_latent budget,GB1_IgG-Fc_fitness_1FCC,fit_latent 10 iterations (s),4.0,,budget,PENDING,subsample path,no
G0,one null replicate budget,GB1_IgG-Fc_fitness_1FCC,one replicate (s),20.0,,budget,PENDING,subsample path,no
G1,parse audit: rows,ALL_28,total rows,508962,508962,0,PASS,STOP -- the data is not what the profile describes,YES
G1,parse audit: unique canonical keys,ALL_28,sum of per-file unique canonical keys,508962,508962,0,PASS,STOP -- the data is not what the profile describes,YES
G1,parse audit: duplicate canonical keys,ALL_28,duplicate rows under the canonical key (chain retained),0,0,0,PASS,STOP -- the data is not what the profile describes,YES
G1,parse audit: mutation instances (25 registered),REGISTERED_25,mutation tokens,1173273,1173273,0,PASS,STOP -- the data is not what the profile describes,YES
G1,parse audit: mutation instances (all 28),ALL_28,mutation tokens; the spec quotes the 25-registered figure in the same line as the 28-file row count,2229197,2229197,0,PASS,STOP -- the data is not what the profile describes,YES
G1,parse audit: mutated positions (25 registered),REGISTERED_25,"distinct (chain,resseq,icode) mutated positions",2220,2220,0,PASS,Sec.1.5 burial denominators change,no
G1,"parse audit: wt-letter mismatches, mutant vs mutant_pdb",ALL_28,mismatching instances,0,0,0,PASS,STOP -- the data is not what the profile describes,YES
G1,parse audit: wt-letter mismatches vs wildtype_sequence,ALL_28,mismatching instances,0,0,0,PASS,STOP -- the data is not what the profile describes,YES
G1,parse audit: wt-letter mismatches vs PDB residue,REGISTERED_25,mismatching instances (22 PDBs; the 3 unregistered assays have no PDB in structures/),0,0,0,PASS,STOP -- the data is not what the profile describes,YES
G1,parse audit: PDB residue keys not found,REGISTERED_25,"(chain,resseq,icode) absent from the PDB",0,0,0,PASS,mutant_pdb lookup is not a total function; map_mutations breaks,YES
G1,parse audit: X-hits,ALL_28,mutations landing on an X of wildtype_sequence,0,0,0,PASS,STOP -- the data is not what the profile describes,YES
G1,parse audit: * tokens,ALL_28,stop-codon tokens,0,0,0,PASS,STOP -- the data is not what the profile describes,YES
G1,parse audit: identity mutations,ALL_28,tokens with wt == mut,0,0,0,PASS,STOP -- the data is not what the profile describes,YES
G1,parse audit: per-chain token counts agree,ALL_28,mutant vs mutant_pdb per-chain token totals,True,True,0,PASS,STOP -- the data is not what the profile describes,YES
